"ID","KM1","KM2","KM3","QC1","QC2","QC3","CT1","CT2","CT3","PC1","PC2","PC3","QD"
"173",3,3,3,4,3,3,3,3,3,3,3,3,3
"174",4,4,4,4,3,3,3,2,2,3,2,2,4
"175",3,3,3,5,4,3,3,3,3,2,2,2,4
"176",3,5,3,4,3,4,3,3,3,2,3,2,3
"177",2,2,2,1,2,2,5,4,5,2,1,2,2
"178",2,2,3,4,4,4,3,3,3,4,4,3,4
"179",3,5,4,4,3,3,4,3,3,5,5,4,4
"180",3,4,2,5,2,2,4,3,3,2,3,4,2
"181",4,4,4,5,4,5,5,4,5,4,3,4,4
"182",1,1,2,5,3,3,4,5,3,1,3,5,3
"183",4,5,3,5,4,3,3,3,3,3,3,4,4
"184",5,5,5,5,4,4,4,4,3,5,3,3,5
"185",3,3,3,2,3,2,3,4,3,1,2,2,3
"186",2,2,2,2,2,2,2,2,2,2,1,1,2
"187",4,5,4,5,4,3,4,4,5,4,5,4,4
"188",5,5,5,2,4,3,5,5,4,2,1,1,5
"189",5,5,5,5,5,5,5,5,5,5,5,5,5
"190",3,5,4,4,3,3,5,5,4,3,3,5,4
"191",1,2,3,5,4,5,5,5,5,5,5,5,4
"192",5,5,4,5,4,5,5,5,5,4,1,4,4
"193",5,5,5,5,5,5,5,5,5,3,3,3,5
"194",3,3,3,2,3,2,2,2,3,3,2,3,3
"195",1,2,1,2,2,1,1,2,1,1,2,1,2
"196",3,3,3,4,3,3,3,3,3,5,5,5,3
"197",5,5,5,5,5,5,5,5,5,5,5,5,5
"198",3,3,3,5,4,4,5,5,3,3,3,3,4
"199",3,3,3,4,3,2,3,3,1,2,2,1,3
"200",1,5,5,1,5,1,5,5,5,1,1,5,5
"201",1,5,1,1,5,5,5,5,5,1,2,5,3
"202",4,5,5,5,4,4,3,4,2,4,3,4,5
"203",5,4,4,5,4,4,4,4,4,4,4,4,4
"204",5,5,5,5,5,5,5,5,5,5,5,5,5
"205",4,3,4,4,2,2,1,4,1,4,4,4,3
"206",4,4,3,5,3,2,2,2,3,3,5,5,3
"207",5,5,5,5,5,5,5,5,5,3,5,5,5
"208",3,3,3,4,3,3,3,3,3,3,3,3,3
"209",4,4,3,5,4,4,1,1,4,3,4,5,4
"210",5,5,5,5,3,2,2,5,5,1,1,1,4
"211",2,1,1,2,1,1,3,3,1,1,1,5,1
"212",5,5,5,5,5,5,5,5,5,5,5,5,5
"213",5,5,5,4,3,3,3,3,3,5,3,5,4
"214",2,3,2,5,4,4,4,4,4,1,2,3,3
"215",3,3,3,4,4,4,3,2,2,4,3,4,4
"216",1,1,1,1,1,1,5,4,1,4,4,4,1
"217",4,3,4,4,4,4,4,3,4,3,4,4,4
"218",4,4,5,5,4,4,3,4,4,4,4,4,5
"219",5,5,5,4,3,3,3,4,3,3,3,3,4
"220",5,5,5,4,3,3,3,5,3,3,3,5,4
"221",3,3,3,4,3,3,3,3,3,3,2,2,3
"222",5,5,5,5,5,5,5,5,5,5,5,5,5
"223",5,5,5,5,5,5,5,5,5,5,5,5,5
"224",5,5,5,2,5,5,5,5,5,4,5,5,5
"225",2,3,4,5,3,2,4,3,2,3,2,3,4
"226",3,1,1,1,2,2,3,3,4,2,3,4,2
"227",5,5,5,5,3,4,3,3,3,5,5,5,4
"228",3,3,3,2,2,2,2,2,2,3,2,4,3
"229",3,5,5,5,4,5,4,4,5,4,4,5,5
"230",4,3,5,4,2,2,4,4,2,3,3,4,4
"231",5,5,5,5,5,5,5,5,5,5,5,5,5
"232",3,3,3,5,5,5,4,3,3,3,1,4,4
"233",3,4,4,5,5,5,5,5,5,5,5,5,5
"234",1,1,1,4,3,3,4,4,2,1,1,3,2
"235",5,5,5,5,5,5,5,5,5,1,1,5,5
"236",5,5,5,4,5,4,5,4,4,4,4,5,5
"237",3,1,1,4,5,4,4,4,4,5,5,5,3
"238",5,2,4,4,4,4,3,5,5,5,4,4,4
"239",5,5,5,5,5,5,5,5,5,5,5,5,5
"240",5,5,5,1,1,1,5,5,5,4,5,5,3
"241",5,5,5,5,5,5,5,5,5,5,5,3,5
"242",5,3,5,2,1,3,5,5,1,3,4,2,3
"243",2,2,2,5,4,4,2,2,1,4,1,1,3
"244",3,3,3,4,5,3,5,5,2,4,3,5,4
"245",2,2,3,2,3,4,4,2,1,3,2,1,3
"246",4,4,4,5,4,4,4,4,4,2,2,2,4
"247",3,4,4,5,4,4,5,4,1,4,5,3,4
"248",3,1,2,4,3,4,1,1,1,3,1,4,3
"249",1,1,1,4,3,3,3,3,3,3,2,4,2
"250",4,4,3,4,3,4,4,4,4,5,4,4,3
"251",5,5,5,5,5,5,5,5,5,5,5,5,5
"252",3,3,3,4,3,3,3,3,3,4,3,5,3
"253",5,5,5,5,5,5,3,3,3,3,3,3,5
"254",5,5,5,5,5,5,5,5,5,2,2,1,5
"255",1,1,2,1,5,5,3,3,4,4,3,3,4
"256",5,5,4,5,5,3,5,2,2,2,1,1,5
"257",5,5,5,4,4,4,3,4,3,3,3,1,5
"258",3,3,4,4,1,1,3,3,2,5,1,5,3
"259",3,2,4,4,4,4,4,5,3,3,3,4,4
